《舞台序幕》诗人：谁奠定俄林普斯，使群神毕集。意思是（）。,,选项 B ,,,,,,,
《舞台序幕》团长：去使用大的天光，小的天光。 大的天光指的是（）。,,选项 A ,,,,,,,
《舞台序幕》团长：去使用大的天光，小的天光。 小的天光指的是（）。,,选项 B ,,,,,,,
《浮士德》正文是从（）开始。,,选项 C ,,,,,,,
《天上序曲》拉斐尔：不可思议的崇高的功业。功业指的是（）、,,选项 B ,,,,,,,
《天上序曲》梅菲斯特：这种世界小神，总是本性难移。小神指的是（）。,,选项 C ,,,,,,,
《天上序曲》梅菲斯特：还像开辟之日那样古里古怪。对应的天使长的一句话是（）。,,选项 C ,,,,,,,
《天上序曲》中天主问梅菲斯特世间难道没有一件事使他称心，梅菲斯特回答的是（）。,,选项 A ,,,,,,,
《天上序曲》梅菲斯特：如果我得到你的允许，慢慢引他走我的大道！梅菲斯特的大道是（）。,,选项 B ,,,,,,,
《天上序曲》天主：只要他在世间活下去，我不阻止，听你安排。意思是（）,,选项 D ,,,,,,,
“人在奋斗时，难免迷误”是（）说的。,,选项 A ,,,,,,,
《天上序曲》天主：去勾引这个灵魂脱离本源。灵魂是指（）,,选项 A ,,,,,,,
《天上序曲》天主：去勾引这个灵魂脱离本源。本源是指（）,,选项 C ,,,,,,,
第一部第一场发生的时间是（）。,,选项 A ,,,,,,,
第一部第一场中浮士德：奋起吧，弟子，务须坚定，在曙光中涤荡尘胸！曙光在炼金术术语中象征（）。,,选项 B ,,,,,,,
第一部第一场中浮士德召唤出（）。,,选项 D ,,,,,,,
第一部第一场中地灵：神的有生命的衣裳为（）。,,选项 A ,,,,,,,
第一部第一场中瓦格纳询问浮士德怎样的演讲才能指导世人，浮士德认为（）。,,选项 C ,,,,,,,
第一部第一场中浮士德：像用废纸折花，点缀人生。意思是（）。,,选项 B ,,,,,,,
第一部第一场中浮士德：哎！那是多么巨大的现形。指的是（）。,,选项 C ,,,,,,,
第一部第一场中浮士德：我自觉渺小而又伟大。其原因是（）。,,选项 D ,,,,,,,
第一部第一场中浮士德认为我们达到世间的善境之后，更善者被称为（）。,,选项 C ,,,,,,,
第一部第一场中浮士德认为自己跟神不相肖似，而是像（）。,,选项 B ,,,,,,,
第一部第一场中浮士德：我因你而崇拜人的智慧和技巧。意思是（）。,,选项 C ,,,,,,,
第一部第一场中浮士德：请对你的主人保持好意。主人指的是（）。,,选项 C ,,,,,,,
第一部第一场中浮士德：任何人都想过而不入的大门，你要敢于前去把它推开。大门是（）。,,选项 D ,,,,,,,
第一部第一场中浮士德：你并不害怕那个黑暗的洞府，尽管幻想想象的那样痛苦难熬。黑暗的洞府指的是（）。,,选项 C ,,,,,,,
第一部第一场中浮士德：你敢冲进那条通路，不怕全地狱之火在入口处燃烧。通路是（）,,选项 C ,,,,,,,
第一部第一场中浮士德：你敢下决心欣然走这一步，尽管存在着危险，会使你堕入虚无。这一步是（）。,,选项 B ,,,,,,,
第一部第一场中天使们的合唱：导致毁灭的原罪的人类，愿你们安乐。原罪是（）。,,选项 A ,,,,,,,
第一部第一场中使徒们的合唱：夫子啊，我们哭你的幸福！哭的原因是（）。,,选项 B ,,,,,,,
第一部第二场发生的地点是（）。,,选项 D ,,,,,,,
第一部第二场有学徒数人去 “猎人之家”的目的是（）。,,选项 C ,,,,,,,
第一部第二场学徒四建议大家去（）。,,选项 B ,,,,,,,
第一部第二场学生一：星期六拿着笤帚扫地的手，到星期日最会将你抚爱。 拿着笤帚的手指的是（）。,,选项 A ,,,,,,,
第一部第二场市民二：数国国民在大动刀兵。指的是（）,,选项 B ,,,,,,,
第一部第二场老婆子：别这样骄傲，我了如指掌！其原因是（）。,,选项 C ,,,,,,,
第一部第二场学徒、使女、城市姑娘的出场时为了（）。,,选项 D ,,,,,,,
第一部第二场瓦格纳也来到野外的原因是（）。,,选项 B ,,,,,,,
第一部第二场瓦格纳看到浮士德受人们欢迎，人们遇到他就像遇到（）。,,选项 D ,,,,,,,
第一部第二场浮士德说起先父和炼金术师交往把自己关在黑丹房里，黑丹房指的是（）。,,选项 B ,,,,,,,
第一部第二场浮士德炼金元素红狮比喻为（）。,,选项 A ,,,,,,,
第一部第二场浮士德：从一间洞房逼到另一个室内。指的是（）。,,选项 B ,,,,,,,
第一部第二场浮士德：于是，多彩的女王就在玻璃器中生成。多彩的女王指的是（）。,,选项 C ,,,,,,,
第一部第二场浮士德：我亲自把这礼物赠给成千的人士。礼物在这里作（）解。,,选项 C ,,,,,,,
第一部第二场瓦格纳：你在成年后增加你的学问，将来令郎可达到更高的目标。令郎是（）。,,选项 C ,,,,,,,
第一部第二场浮士德中浮士德认为我们的胸中有两个灵魂，他们（）。,,选项 D ,,,,,,,
第一部第二场瓦格纳：北方有锐齿魔神向你进犯。锐齿魔神是指（）。,,选项 A ,,,,,,,
第一部第二场瓦格纳：东方来的魔神，使万物枯干。东方来的魔神指（）。,,选项 C ,,,,,,,
第一部第二场瓦格纳：若是来自沙漠之地的南方。指的是（）。,,选项 C ,,,,,,,
第一部第二场瓦格纳：至于西方的群魔，先之以凉爽，却为了要把你和田野淹没。西方的群魔是指（）。,,选项 B ,,,,,,,
第一部第二场瓦格纳见到狮子狗后以为是大学生养的经过训练的于是说：（）,,选项 D ,,,,,,,
第一部第三场浮士德：粗野的冲动已经睡稳。冲动是（）。,,选项 A ,,,,,,,
第一部第三场浮士德：人们向往生命的源泉。源泉指（）。,,选项 B ,,,,,,,
第一部第三场浮士德：为什么这道泉流要很快干枯，使我们再受焦渴之苦。这道泉流是（）。,,选项 C ,,,,,,,
第一部第三场浮士德：而且还要渴望“启示”。启示是（）。,,选项 B ,,,,,,,
第一部第三场浮士德将“太初有道”翻译为“太初有思”的考虑是（）。,,选项 A ,,,,,,,
第一部第三场浮士德将“太初有道”翻译为“太初有力”的考虑是（）。,,选项 A ,,,,,,,
第一部第三场浮士德将“太初有道”翻译为“太初有为”的考虑是（）。,,选项 C ,,,,,,,
第一部第三场浮士德以为狮子狗只是一个杂种，功夫还没有到家，于是说（）。,,选项 D ,,,,,,,
第一部第三场浮士德为了吓退狮子狗先拿出了（）。,,选项 D ,,,,,,,
第一部第三场浮士德：快出来把残局收拾。意要（）,,选项 A ,,,,,,,
第一部第三场浮士德：生无无始者，其即（）。,,选项 A ,,,,,,,
第一部第三场浮士德：充塞天地之间者，其指（）。,,选项 D ,,,,,,,
第一部第三场中浪荡学生是指（）。,,选项 C ,,,,,,,
第一部第三场中浮士德：混沌所生的古怪的儿子，去找点其他工作干干！混沌是（）,,选项 B ,,,,,,,
第一部第三场中众精灵：飞往那一片光明的岛上。岛是（）。,,选项 B ,,,,,,,
在《序诗》中“你们又走近了，飘渺不定的姿影”指的是？,,选项 A ,选项 B ,选项 C ,,,,,
《浮士德》和哪几部作品被称为世界文学中最伟大的作品,,选项 A ,选项 C ,选项 D ,,,,,
梅菲斯特是（）的恶灵,,选项 A ,选项 C ,,,,,,
书中打赌的构思是受《》中的《》启发而来的,,选项 A ,选项 C ,,,,,,
恶魔的活动，可以起一种（）的促进作用,,选项 A ,选项 C ,,,,,,
歌德认为地灵是,,选项 A ,选项 B ,,,,,,
在第二场《城门外》中，浮士德心中有两种思想情感的斗争,,选项 B ,选项 C ,,,,,,
第三场《书斋》中浮士德将《》和《》翻译成了德语,,选项 A ,选项 D ,,,,,,
第六场中梅菲斯特让浮士德返老还童后引诱她和（）恋爱，后又迷恋（）,,选项 B ,选项 C ,,,,,,
在第一部中浮士德对（）的无力感到失望而乞求梅菲斯特追求（）享乐,,选项 C ,选项 D ,选项 E ,,,,,
第二部中，浮士德转向（）的追求，结果以（）结束,,选项 B ,选项 C ,,,,,,
第一幕第一场中浮士德在大自然中得到身心复原，从（）走向（）,,选项 C ,选项 E ,,,,,,
第一幕第二场中浮士德在大厅化身为（）之神，梅菲斯特化妆为（），皇帝化妆为（）。,,选项 A ,选项 B ,选项 D ,,,,,
第一幕第二场中大印纸币，解决了财政困难，皇帝对（）和（）论功行赏，封他们做地下宝藏的管理人。,,选项 B ,选项 C ,,,,,,
第一幕第二场中皇帝要看美男美女的典型（）和（）的形态，命令（）去办,,选项 C ,选项 D ,选项 E ,,,,,
浮士德从（）取回宝鼎以后，看到了海伦的形象，突然失去了节制想从（）把海伦抢过来，他用（）触到（），不料引起爆炸,,选项 A ,选项 B ,选项 D ,,,,,
浮士德刚一踏上希腊的土地就苏醒过来，第一句就问海伦在哪里。他向（）打听了海伦所在,,选项 B ,选项 D ,选项 E ,,,,,
说到浮士德的时候，天主说浮士德是（），梅菲斯特说是（）,,选项 C ,选项 E ,,,,,,
浮士德钻研过哪些学科,,选项 A ,选项 C ,选项 D ,选项 E ,,,,
刚开场，浮士德的感觉自己没有（），于是感到自己在贪生,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
中世纪的四大科是,,选项 A ,选项 C ,选项 D ,选项 E ,,,,
刚开场，浮士德说到自己想知道更多秘密，不再流更多汗，实际上想表达的是,,选项 A ,选项 B ,选项 E ,,,,,
刚开场的书房里，浮士德说“我还枯守这个牢笼？”牢笼指的可以是,,选项 A ,选项 B ,选项 D ,,,,,
第一场第一幕中有哪几个角色,,选项 A ,选项 C ,选项 E ,,,,,
浮士德认为演说要做到,,选项 B ,选项 C ,,,,,,
第一场第一幕中瓦格纳下场后，浮士德独白道感到自己渺小又伟大，渺小是和（）比，伟大是和（）,,选项 B ,选项 D ,,,,,,
浮士德认为幻想会因为幸福的消逝而被忧愁取代，可以以（）的形式出现,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一场第一幕中浮士德认为（）是困住他的尘土,,选项 A ,选项 D ,,,,,,
第一场第一幕中浮士德在房间里对着（）自言自语,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
第一场第一幕中浮士德看到长颈瓶后毕恭毕敬的取下来，这个瓶子是（），以及有何深意,,选项 A ,选项 D ,选项 E ,,,,,
第一场第一幕中浮士德看到自己的长颈瓶感到自己的痛苦（），努力（）,,选项 B ,选项 D ,,,,,,
在浮士德要喝酒自尽时，天使们唱歌：（）复活了、负者隐约的、导致毁灭的（）的人类愿你们安乐,,选项 B ,选项 E ,,,,,,
第一场中浮士德要自尽时除了听到天使们的合唱还有（）的合唱,,选项 B ,选项 E ,,,,,,
第一场中浮士德听到合唱唤起了他,,选项 A ,选项 B ,,,,,,
第一部第二场中各色人物的对话凸显出,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
第一部第二场中浮士德来到郊外感受到了大自然的美好，感到,,选项 A ,选项 B ,选项 C ,,,,,
第一部第二场中浮士德提到以前的一场瘟疫，感到自己,,选项 B ,选项 C ,,,,,,
第一部第二场中浮士德和瓦格纳的对话中提到但太阳女神好像终将退位，新的冲动将我召唤，我急忙追去，吸她永恒的光辉。问：浮士德为什么要吸住永恒的光辉,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一部第二场中浮士德和瓦格纳的对话中说 我们的精神的翅膀真不容易和肉体的翅膀取得合作表达出,,选项 A ,选项 B ,,,,,,
第一部第二场中浮士德和瓦格纳的对话中，浮士德说自己的心中住着两种情欲，分别是,,选项 A ,选项 E ,,,,,,
第一部第三场中浮士德把第一句翻译成过哪几句不同的话？,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
第一部第三场中浮士德问浪荡学生的名字，并且暗示他是（）,,选项 A ,选项 D ,选项 E ,,,,,
第一部第三场中浮士德问梅菲斯特如何对其呈现出整体，梅菲斯特说,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
第一部第三场中梅菲斯特说“尽管我耗费许多心血”为何达不到想要的目的,,选项 B ,选项 C ,选项 D ,,,,,
第一部第三场中浮士德为何不放梅菲斯特走？,,选项 A ,选项 B ,,,,,,
第一部第四场中浮士德认为自己不同意梅菲斯特换身衣服的建议是因为,,选项 D ,选项 E ,,,,,,
第一部第四场中浮士德对梅菲斯特说自己没有死去的原因是因为听到了教堂的歌声，然后诅咒（）等等。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一部第四场中浮士德对梅菲斯特所诅咒的“诅咒信仰”指的是（）,,选项 B ,选项 C ,选项 D ,,,,,
在订约后，浮士德说“大丈夫唯有活动不息”，他提到（）,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在订约之后，浮士德说凡事赋予全体人类的一切都要在其内心自我体验，用这种精神掌握高深的道理，把幸与不幸堆积在其心里，将其小我扩充为人类的大我，最后我也像人类一样没落。体现出,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在谈到“人类和神明”的时候，梅菲斯特认为（）住在永恒的光明里，（）住在黑暗，而黑暗对（）有用,,选项 A ,选项 B ,选项 C ,,,,,
第一部第四场中浮士德认识到将人类的精神财富集于一身后，,,选项 A ,选项 B ,选项 C ,,,,,
第一部第四场中走廊上有个大学生恭候（）久矣，但是去见大学生的人是（）,,选项 A ,选项 C ,,,,,,
第一部第四场中学生想要学习（）,,选项 B ,选项 C ,,,,,,
梅菲斯特建议学生先去学习（）的原因是（）,,选项 B ,选项 C ,选项 D ,选项 E ,,,,
梅菲斯特给出的学习建议是,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
第一部第四场中梅菲斯特问学生要选哪一科，学生回答“对于法科总觉得有点不对味”实际上体现出,,选项 A ,选项 B ,选项 C ,,,,,
第一部第四场中学生对梅菲斯特说言词也需要个概念，梅菲斯特解释说,,选项 A ,选项 B ,选项 C ,,,,,
第一部第四场梅菲斯特给学生提的字是“你们便如上帝，能知道善恶”暗指,,选项 A ,选项 C ,,,,,,
第一部第五场中布朗德说：“这里有两位钟情的先生”。这两位先生指的是,,选项 A ,选项 C ,,,,,,
第一部第五场中（）调侃（）和（），结果被梅菲斯特好好回敬了一番,,选项 A ,选项 D ,选项 E ,,,,,
第一部第六场梅菲斯特带浮士德去魔女寻求仙丹，浮士德不相信魔女会有返老还童的药，认为（）都没有发明过。,,选项 C ,选项 D ,,,,,,
第一部第六场中梅菲斯特告诉了浮士德一个可以不用金钱、医术、魔法就可以保持青春的办法，就是（）。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一部第六场中梅菲斯特提到炼丹不仅需要各种奇怪的东西还需要,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
第一部第六场中梅菲斯特问诸猿搅拌的什么汤，他们回答说是布施羹汤，这里的羹汤有两层含义（）。,,选项 A ,选项 E ,,,,,,
第一部第六场中魔女以（）为由没有认出梅菲斯特,,选项 A ,选项 C ,,,,,,
第一部第六场中梅菲斯特说：“他们摆脱了恶魔，恶人依旧有很多”。其意思是,,选项 A ,选项 C ,选项 E ,,,,,
第一部第六场中梅菲斯特说：因为彻头彻尾的矛盾，对于智者和愚人都是同样神秘。这里的智者和愚人分别代指现实中的（）。,,选项 A ,选项 D ,,,,,,
第一部第八场中马加雷特回到自己的房间后唱起了一首诗，诗中的图勒王把金杯丢到海里象征着、,,选项 B ,选项 C ,选项 D ,,,,,
第一部第九场中梅菲斯特表达了教会收取首饰盒的不满，浮士德却认为这很正常，并且说（）也如此,,选项 B ,选项 D ,,,,,,
第一部第九场中浮士德让梅菲斯特再去弄一些首饰的原因是,,选项 A ,选项 B ,选项 C ,,,,,
第一部第九场中浮士德为进一步接近格雷欣命令梅菲斯特,,选项 A ,选项 C ,,,,,,
第一部第十一场中，梅菲斯特和浮士德因为（）展开了辩论,,选项 A ,选项 B ,选项 C ,,,,,
第一部第十二场中在马尔太家的庭院里，（）和（）在一起散步交谈。,,选项 A ,选项 C ,,,,,,
格雷欣认为（）才算对天主有诚意,,选项 B ,选项 C ,,,,,,
第一部第十七场（）告诉了（）关于（）被轻薄男子欺骗的事情。,,选项 B ,选项 C ,选项 E ,,,,,
第一部第十七场最后格雷欣的内心独白：可是——造成后果的前因，是多么美满，多么称心！前因和后果分别指什么？,,选项 A ,选项 D ,,,,,,
第一部第十七场最后格雷欣的内心独白：可是——造成后果的前因，是多么美满，多么称心！说明此时的格雷欣,,选项 A ,选项 C ,选项 D ,,,,,
第一部第十八场中格雷欣在圣母面前做的是（）。,,选项 A ,选项 C ,选项 D ,,,,,
第一部第十九场中格雷欣的哥哥对格雷欣以后的预言是她将和什么人混在一起？,,选项 C ,选项 D ,,,,,,
第一部第十九场瓦伦廷死前为何说妹妹给了她致命的打击？,,选项 B ,选项 C ,选项 D ,,,,,
第一部第二十场可知临终圣事包括,,选项 B ,选项 D ,选项 E ,,,,,
第一部第二十一场中众魔女合唱体现出了（）。,,选项 A ,选项 C ,,,,,,
第一部第二十一场中梅菲斯特说：“我看到年轻的魔女一丝不挂，老的却明智的遮盖住身体。”可能的意思是。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一部第二十一场中出现的（）这些人物是过时的旧时人物的代表。,,选项 B ,选项 C ,选项 D ,选项 E ,,,,
第一部第二十一场中梅菲斯特以老态出现，并且说：“我感到世人距离公审判已近”意指。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
第一部第二十一场中梅菲斯特对卖旧货的魔女所卖的东西都不感兴趣体现出（）。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
第一部第二十一场中梅菲斯特如何转移浮士德关注格雷欣的注意力？（）,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在瓦尔普吉思之夜的梦或奥博朗与蒂妲尼霞的金婚纪念插剧中。担任管弦乐演奏的有。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
为讽刺尼古拉而出现的人物有（）。,,选项 A ,选项 D ,,,,,,
在瓦尔普吉思之夜的梦或奥博朗与蒂妲尼霞的金婚纪念插剧中，提琴手：“这些混蛋相互仇视，情愿死也不罢休。”这些人指,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
在瓦尔普吉思之夜的梦或奥博朗与蒂妲尼霞的金婚纪念插剧中：“大呼批判，大呼怀疑”。指的是哪两位人物,,选项 C ,选项 D ,,,,,,
在瓦尔普吉思之夜的梦或奥博朗与蒂妲尼霞的金婚纪念插剧中，善处事者指的是（）。,,选项 A ,选项 B ,选项 C ,,,,,
在瓦尔普吉思之夜的梦或奥博朗与蒂妲尼霞的金婚纪念插剧中，走投无路者指（）。,,选项 A ,选项 B ,选项 C ,,,,,
在第一部第二十二场中，梅菲斯特说到：|“倒霉的不是她第一个”。含义是,,选项 A ,选项 B ,选项 C ,,,,,
在第一部第二十二场中，梅菲斯特：“而你们人类，就要弄的精神错乱。”体现出（）。,,选项 A ,选项 B ,选项 C ,,,,,
古罗马人将一夜分为四更，即（）。,,选项 A ,选项 B ,选项 D ,选项 E ,,,,
第二部第一场中“忘川之水”的作用是,,选项 A ,选项 B ,,,,,,
在第一部第二十四场中浮士德须经过的四个过程是（）。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
第二部中可知，时序女神掌管（）。,,选项 A ,选项 B ,,,,,,
在第二部第一场中“我们不过想点起生命的火炬，却被火海包围。”体现出,,选项 B ,选项 C ,选项 D ,选项 E ,,,,
在第二部第二场中，从陆军大臣口中可知帝国的困境是（）。,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
在第二部第二场中，从财政大臣口中可知（）。,,选项 A ,选项 B ,选项 C ,,,,,
在第二部第二场中，从宫内大臣口中他们遇到的困难有（）。,,选项 A ,选项 B ,选项 D ,选项 E ,,,,
在第二部第二场中，梅菲斯特认为靠（）才能挖出钱财宝藏。,,选项 A ,选项 B ,选项 C ,,,,,
在第二部第二场中，宰相认为（）守护者神圣的皇位。,,选项 A ,选项 D ,,,,,,
在第二部第二场中，梅菲斯特对利用地底黄金的建议首先受到了（）的欢迎,,选项 B ,选项 C ,,,,,,
在第二部第二场中，星士：“由天上之礼获得下界之宝”上天之礼指（）.下界之宝指（）。,,选项 C ,选项 D ,,,,,,
在第二部“广阔的大厅”中可知，狂欢节又译（ ）。,,选项 C ,选项 D ,,,,,,
在第二部“广阔的大厅”中，哲人之石的属性是（ ）。,,选项 B ,选项 C ,选项 D ,,,,,
在第二部“广阔的大厅”中，狂欢节上有（ ）舞蹈。,,选项 A ,选项 C ,选项 E ,,,,,
在第二部“广阔的大厅”中可知忒额弗拉斯托斯是（　）。,,,,,,,,,
在第二部第“广阔的大厅”樵夫们：“我们不流汗，你们要挨饿”体现出（　）。,,,,,,,,,
在第二部“广阔的大厅”可知，根据赫西俄德司美女神有（）。,,,,,,,,,
在第二部“广阔的大厅”中可知希腊神话中的三位复仇女神是,,,,,,,,,
在第二部“广阔的大厅”中可知三位命运女神是,,,,,,,,,
在第二部“广阔的大厅”中说到哪两种感情是人类一生中的大敌（）。,,,,,,,,,
在第二部“广阔的大厅”中，“背着高堡的活的巨兽”。高堡和巨兽分别指（）。,,,,,,,,,
在第二部“广阔的大厅”中的梅菲斯特的贪吝同（）形成对比,,,,,,,,,
在第二部“广阔的大厅”中出现的土精是（）。,,,,,,,,,
在第二部“广阔的大厅”中“凡是不守三诫的人。”此处三诫指《旧约》中的哪三诫（）。,,选项 A ,选项 B ,选项 D ,,,,,
在第二部“广阔的大厅”中土精在膜拜大神潘时提到的魔杖可以（）。,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
在第二部“御花园”中梅菲斯特说纸币不需要（）和（），就可以花天酒地，随意寻欢。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,选项 C ,,,,,,,
在第二部中皇帝还要求看到男子和妇女的典型（）。,,,,,,,,,
在第二部“灯火辉煌的大厅”中（）开始催促梅菲斯特实现皇帝的愿望。,,,,,,,,,
在第二部“骑士大厅”中可知神话中，海伦有（）等说。,,选项 A ,选项 C ,选项 D ,,,,,
在第二部第二幕第二场中梅菲斯特：“到头来我们竟要仰仗自己创造的小人。”可能的含义是（）。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在第二部第二幕第三场中在“珀涅俄斯河”让鸟头狮感到不满的字眼是（）。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
在第二部第二幕第三场中的“河神珀涅俄斯河由（）所围绕,,选项 B ,选项 C ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河”（）受到过马人刻戎的教导。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
在第二部第二幕第三场中在“珀涅俄斯河”中人马刻戎让浮士德不要勾起他的怀思，他说起了敬若神明的勇士（）。,,选项 A ,选项 B ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河”中可知宙斯双子是,,选项 C ,选项 D ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河”中可知北风神二子为（）。,,选项 D ,选项 E ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河上游”中可知（）住在帕尔纳索斯山上。,,选项 A ,选项 C ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河上游”中的皮格迈俄族的敌人是（）。,,选项 C ,选项 D ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河上游”中梅菲斯特：“你不走错路，就不会懂得事理！”意思是（）。,,选项 A ,选项 B ,选项 C ,,,,,
在第二部第二幕第三场中在“珀涅俄斯河上游”中小人为了得到自己的肉体想追随（）。,,选项 B ,选项 C ,,,,,,
在第二部第二幕第三场中在“珀涅俄斯河上游”中可知福耳库斯的女儿名字为（）。,,选项 A ,选项 B ,选项 C ,,,,,
在第二部第二幕第三场中在“爱琴海的岩石港湾”中可知内海女神（希腊名涅瑞伊得斯）为（）和（）所生的五十个女儿。,,选项 A ,选项 D ,,,,,,
在第二部第二幕第三场中在“爱琴海的岩石港湾”中可知特里同为（）何（）所生的儿子。,,选项 B ,选项 C ,,,,,,
在第二部第二幕第三场中在“爱琴海的岩石港湾”中荷蒙库鲁斯：“三个精灵奇妙的同行”指（）。,,选项 B ,选项 C ,选项 D ,,,,,
在第二部第二幕第三场中在“爱琴海的岩石港湾”中泰勒斯：“让神圣事物保持生命。”意指（）。,,选项 A ,选项 C ,,,,,,
在第二部第二幕第三场中在“爱琴海的岩石港湾”中小人在（）的魅力下，看到这里是他生存开始之处。,,选项 A ,选项 E ,,,,,,
在第二部第二幕中的墨涅拉斯是（）,,选项 B ,选项 C ,,,,,,
在第二部第三幕可知海伦和（）一起在帕拉斯山长大。,,选项 A ,选项 C ,选项 D ,,,,,
在第二部第三幕中可知帮助海伦回家的神明有（）。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
在第二部第三幕中根据福尔库阿斯可知传说中海伦分成了两个化身。分别去了。,,选项 A ,选项 C ,,,,,,
在第二部第三幕中海伦和合唱队在离开皇宫，前往城堡的过程中看到（）。,,选项 B ,选项 D ,选项 E ,,,,,
在第二部第三幕第二场“城堡内院”中海伦和浮士德的对话暗示（）文化和（）文化的融合,,选项 A ,选项 C ,,,,,,
在第二部第三幕第二场“城堡内院”中浮士德：“凌驾她的母亲和兄弟。”母亲和兄弟是指（）。,,选项 C ,选项 D ,选项 E ,,,,,
在第二部第三幕第三场可知赫尔墨斯是保护（）的神。,,选项 A ,选项 D ,,,,,,
在第二部第三幕第三场中海伦认为爱情给人凡人的幸福和给人神仙的乐趣的方法分别是（）。,,选项 A ,选项 C ,,,,,,
在第二部第三幕第三场中欧福里翁向往战场说自己不是（）的身份而是（）。,,选项 C ,选项 E ,,,,,,
在第二部第三幕第三场中可知阿福花是（）和（）的神花。,,选项 A ,选项 E ,,,,,,
在第二部第三幕第三场中潘塔利斯在海伦下冥府后决定追随而去：保持人格要靠（）。,,选项 B ,选项 C ,,,,,,
在第二部第四幕第一场中浮士德醒来看到的云块看出像（）。,,选项 B ,选项 D ,选项 E ,,,,,
在第二部第四幕第一场中浮士德：“向我暗示着轻松活泼的奥罗拉之爱，”奥罗拉是（）。,,选项 B ,选项 C ,,,,,,
在第二部第四幕第一场中浮士德：“萨达那巴！恶劣的现代式！”浮士德说“恶劣的现代式”的原因是（）。,,选项 B ,选项 D ,,,,,,
在第二部第四幕第一场中浮士德为了做一番事业说自己需要（）。,,选项 A ,选项 B ,,,,,,
在第二部第四幕中梅菲斯特教浮士德聪明的人会在（）和（）中努力获取自己的利益,,选项 D ,选项 E ,,,,,,
在第二部第四幕中梅菲斯特叙述国家的情况是（）,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在第二部第四幕第一场中可知梅菲斯特：“事情交参谋本部去办，”参谋本部是（）。,,选项 A ,选项 D ,,,,,,
在第二部第四幕第一场中可知三勇士分别是（）。,,选项 C ,选项 D ,选项 E ,,,,,
在第二部第四幕第一场中可知三勇士分别以比喻的名字代替之，他们的打扮分别代表（）。,,选项 C ,选项 D ,选项 E ,,,,,
在第二部第四幕第二场中可知上战场参战的有（）。,,选项 A ,选项 B ,选项 C ,选项 E ,,,,
在第二部第四幕第二场中浮士德让皇帝看向天空，皇帝看到（）。,,选项 B ,选项 C ,,,,,,
在第二部第四幕第二场中可知皇帝拒绝将指挥权交给梅菲斯特的原因是（）。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在第二部第四幕第二场中可知梅菲斯特让（）找（）借水波的影子。,,选项 B ,选项 D ,,,,,,
在第二部第四幕第二场中可知梅菲斯特让（）找（）借火种。,,选项 B ,选项 E ,,,,,,
在第二部第四幕第二场中可知皇帝封赏大臣分别为（）。,,选项 A ,选项 B ,选项 C ,选项 D ,选项 E ,,,
在第二部第四幕第二场中大主教以让皇帝忏悔为由要求（）。,,选项 A ,选项 B ,选项 C ,选项 D ,,,,
在第二部第五幕的第一场可知（）曾经款待过天神宙斯，因此被视为好客的典型。,,选项 B ,选项 D ,,,,,,
在第二部第五幕的第一场梅菲斯特认为航海中（）是三位一体的。,,选项 C ,选项 D ,选项 E ,,,,,
在第二部第五幕的第四场登场的四人分别叫做（）。,,选项 B ,选项 C ,选项 D ,选项 E ,,,,
